extracted_symptom,linked_symptom
No adverse event,No adverse event
fatigue,Fatigue
DIPLOPIA,Diplopia
DIPLOPIA (Double vision) outcome,Diplopia
glaucoma,Glaucoma
UTI,Therapeutic procedure
positive,Allergy test positive
congestion,Ear congestion
pain,Pain
severe left leg pain,Pain
her leg pain,Pain
sleep,Obstructive sleep apnoea syndrome
breast cancer,Breast cancer female
sciatic pain,Pain
adverse reaction,Adverse reaction
severe obesity,Obesity
HTN,Muscle tightness
low oxygen saturation,Oxygen saturation
OSA,Adiposis dolorosa
symptoms,Lower urinary tract symptoms
acute hypoxemic respiratory failure,Acute respiratory failure
Covid pneumonia,COVID-19 pneumonia
diarrhea,Diarrhoea
covid pneumonia,COVID-19 pneumonia
cough,Cough
vomitting,Vomiting
chills,Chills
excruciating pain,Pain
tiredness,Fatigue
weight loss,Weight
the weight loss,Weight
WEIGHT LOSS,Weight
Chronic pain,Pain
Sleep disorder,Sleep disorder
VACCINATION COMPLICATION,Vaccination complication
No adverse event,No adverse event
any other adverse reactions,Adverse reaction
pale,Motion sickness
a rash,Rash
pain in knees and upper arms,Pain
Polymyalgia Rheumatica,Polymyalgia rheumatica
stiff,Joint stiffness
No adverse event,No adverse event
chills,Chills
cold sweats,Cold sweat
fever,Pyrexia
fatigue,Fatigue
adverse reaction,Adverse reaction
ADVERSE EVENT,Adverse event
scratched,Scratch
bumps,Swelling
symptoms,Lower urinary tract symptoms
irritated,Febrile convulsion
itch,Muscle twitching
fever,Pyrexia
headaches,Headache
chills,Chills
weakness,Injection site muscle weakness
major back pain,Back pain
her inflammation,Inflammation
BACK PAIN,Back pain
rheumatoid arthritis,Rheumatoid arthritis
No adverse event,No adverse event
No adverse event,No adverse event
Pain,Pain
severe pain,Pain
bursitis,Bursitis
MENSTRUAL DISORDER,Menstrual disorder
menstrual disorder,Menstrual disorder
menstruation irregular,Menstruation irregular
VOMITING,Vomiting
chills,Chills
MOVEMENT DISORDER,Movement disorder
vomiting,Vomiting
CHILLS,Chills
headache,Headache
FATIGUE (non-serious),Fatigue
fatigue,Fatigue
diarrhoea,Diarrhoea
HEADACHE,Headache
Diarrhea,Diarrhoea
DIARRHOEA,Diarrhoea
ASTHENIA,Asthenia
PAIN IN EXTREMITY,Pain in extremity
asthenia,Asthenia
pain in extremity,Pain in extremity
Tired,Fatigue
Headache,Headache
weakness,Injection site muscle weakness
sore,Abdominal tenderness
the rash,Rash
a shingles rash,Rash
severe pain,Pain
a rash,Rash
blistering,Oral mucosal blistering
a unilateral rash on the arm,Rash
increasing pain,Pain
The rash,Rash
the blisters,Blister
general discomfort,Discomfort
pain in moving the arm,Pain
red,Extra dose administered
mild pain,Pain
discomfort,Discomfort
itching,Muscle twitching
the pain,Pain
headache type pain,Headache
a very severe head pain,Pain
Horrible pain,Pain
No adverse event,No adverse event
swollen,Swollen tongue
tender,Abdominal tenderness
the tenderness,Tenderness
the tenderness in the right wrist,Tenderness
the swelling in the right wrist,Swelling
The tenderness in the right wrist,Tenderness
tenderness,Tenderness
the swelling,Swelling
the increased swelling in the right knee,Swelling
stiff,Joint stiffness
The swelling in the left wrist,Swelling
increased swelling in my right knee,Swelling
the swelling in my wrists and hands,Swelling
pseudogout,Gout
The tenderness in the left wrist,Tenderness
sore,Abdominal tenderness
hypertension,Hypertension
symptoms,Lower urinary tract symptoms
ADVERSE EVENT,Adverse event
adverse event,Adverse event
chills,Chills
headache,Headache
Fever,Pyrexia
Headache,Headache
diarrhea,Diarrhoea
DIARRHEA,Diarrhoea
bloody,Bloody discharge
lesions,Wound
rashes,Rash
distress,Acute respiratory distress syndrome
Diabetes mellitus,Diabetes mellitus
adenopathy,Hilar lymphadenopathy
Hyponatremia,Hyponatraemia
Covid-19 infection,COVID-19
acute food aspiration,Aspiration
bacterial aspiration pneumonia,Aspiration
Chronic hypertension,Hypertension
resultant respiratory distress,Respiratory distress
recent cerebrovascular accident,Cerebrovascular accident
chronic kidney disease,Chronic kidney disease
End-stage renal disease,End stage renal disease
